Table,test_concept_id,test_name,test_vocab,test_code,pt_count_test,per_total_pt
measurement,3029709,Clarity in Urine by Refractometry automated,LOINC,50552-9,10524,0.033378053
observation,1384416,Infectious Diseases: How Old Were You Shingles,PPI,InfectiousDiseases_HowOldWereYouShingles,10515,0.033349509
observation,1384505,Infectious Diseases: Rx Meds for Shingles,PPI,InfectiousDiseases_RxMedsforShingles,10515,0.033349509
observation,1384511,Infectious Diseases: Shingles Currently,PPI,InfectiousDiseases_ShinglesCurrently,10515,0.033349509
observation,715725,What do you think is the main reason(s) for these experiences? Select all that apply. Other reason - please specify.,PPI,eds_follow_up_1_xx,10351,0.032829364
measurement,3020650,Glucose [Presence] in Urine,LOINC,2349-9,10322,0.032737387
measurement,3015473,Bicarbonate [Moles/volume] in Plasma,LOINC,1962-0,10285,0.032620038
measurement,3013184,Phencyclidine [Presence] in Urine by Screen method,LOINC,19659-2,10128,0.032122094
measurement,3048402,Erythrocytes [#/area] in Urine sediment by Automated count,LOINC,46419-8,10113,0.03207452
measurement,3026314,Anisocytosis [Presence] in Blood by Light microscopy,LOINC,702-1,10085,0.031985715
measurement,3002032,Base excess in Venous blood by calculation,LOINC,1927-3,10022,0.031785903
measurement,3006135,Nucleated erythrocytes [#/volume] in Blood by Manual count,LOINC,772-4,10016,0.031766874
measurement,3036282,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay,LOINC,13952-7,10007,0.031738329
measurement,3018060,Cocaine [Presence] in Urine by Screen method,LOINC,19359-9,9995,0.03170027
measurement,3016520,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,2871-2,9986,0.031671725
observation,43528809,Digestive: Rx Meds for Irritable Bowel,PPI,Digestive_RxMedsforIrritableBowel,9907,0.031421168
observation,43530324,Digestive: Irritable Bowel Currently,PPI,Digestive_IrritableBowelCurrently,9907,0.031421168
observation,43530481,Digestive: How Old Were You Irritable Bowel,PPI,Digestive_HowOldWereYouIrritableBowel,9907,0.031421168
measurement,3009932,Eosinophils [#/volume] in Blood by Manual count,LOINC,712-0,9906,0.031417996
measurement,3024461,Microorganism identified in Unspecified specimen by Culture,LOINC,11475-1,9866,0.031291132
measurement,3014094,"Carbon dioxide, total [Moles/volume] in Blood",LOINC,20565-8,9854,0.031253072
measurement,3052023,Hepatitis C virus Ab Signal/Cutoff in Serum or Plasma by Immunoassay,LOINC,48159-8,9790,0.031050089
measurement,3026361,Erythrocytes [#/volume] in Blood,LOINC,26453-1,9753,0.03093274
measurement,3003191,Choriogonadotropin (pregnancy test) [Presence] in Serum or Plasma,LOINC,2118-8,9737,0.030881994
measurement,3009531,Nitrite [Mass/volume] in Urine by Test strip,LOINC,20407-3,9623,0.03052043
measurement,40771922,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood",LOINC,69405-9,9606,0.030466513
observation,45766930,Admits alcohol use,SNOMED,704197006,9597,0.030437968
observation,4174707,Dietary management surveillance,SNOMED,424928005,9556,0.030307932
observation,43528883,Skeletal Muscular: Rx Meds for Spine Muscle Bone,PPI,SkeletalMuscular_RxMedsforSpineMuscleBone,9527,0.030215955
observation,43530398,Skeletal Muscular: Spine Muscle Bone Currently,PPI,SkeletalMuscular_SpineMuscleBoneCurrently,9527,0.030215955
observation,43530556,Skeletal Muscular: How Old Were You Spine Muscle Bone,PPI,SkeletalMuscular_HowOldWereYouSpineMuscleBone,9527,0.030215955
measurement,3011367,Oxygen saturation Calculated from oxygen partial pressure in Blood,LOINC,2713-6,9468,0.03002883
observation,439224,Allergy to drug,SNOMED,416098002,9436,0.029927338
measurement,44809413,PHQ-2 - patient health questionnaire 2,SNOMED,8.37E+14,9407,0.029835362
observation,436583,Fall,SNOMED,1912002,9368,0.029711669
measurement,3002617,Acetaminophen [Mass/volume] in Serum or Plasma,LOINC,3298-7,9362,0.029692639
measurement,3027358,T wave axis,LOINC,8638-9,9354,0.029667266
measurement,3007124,Reticulocytes/100 erythrocytes in Blood by Automated count,LOINC,17849-1,9305,0.029511857
observation,4052351,Alcohol intake,SNOMED,160573003,9272,0.029407194
measurement,3021303,Hypochromia [Presence] in Blood by Light microscopy,LOINC,728-6,9240,0.029305702
measurement,3011987,Polychromasia [Presence] in Blood by Light microscopy,LOINC,10378-8,9230,0.029273986
observation,43528783,Cancer: Rx Meds for Skin Cancer,PPI,Cancer_RxMedsforSkinCancer,9219,0.029239098
observation,43530299,Cancer: Skin Cancer Currently,PPI,Cancer_SkinCancerCurrently,9219,0.029239098
observation,43530457,Cancer: How Old Were You Skin Cancer,PPI,Cancer_HowOldWereYouSkinCancer,9219,0.029239098
measurement,3020660,R wave axis,LOINC,9997-8,9216,0.029229584
measurement,3009966,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LOINC,18262-6,9155,0.029036115
measurement,3024928,Oxygen saturation in Venous blood,LOINC,2711-0,9102,0.02886802
measurement,3037885,Microcytes [Presence] in Blood by Light microscopy,LOINC,741-9,9084,0.028810931
observation,1384542,Other: How Old Were You Fibroids,PPI,Other_HowOldWereYouFibroids,9051,0.028706267
observation,1384605,Other: Fibroids Currently,PPI,Other_FibroidsCurrently,9051,0.028706267
observation,1384668,Other: Rx Meds for Fibroids,PPI,Other_RxMedsforFibroids,9051,0.028706267
measurement,3000666,Metamyelocytes/100 leukocytes in Blood by Manual count,LOINC,740-1,9014,0.028588918
measurement,3034107,Monocytes [#/volume] in Blood by Manual count,LOINC,743-5,8993,0.028522314
observation,437525,Overweight,SNOMED,238131007,8978,0.02847474
measurement,3018920,Vancomycin [Mass/volume] in Serum or Plasma --trough,LOINC,4092-3,8947,0.02837642
measurement,3004789,Transferrin [Mass/volume] in Serum or Plasma,LOINC,3034-6,8946,0.028373248
measurement,3017509,Phencyclidine [Presence] in Urine,LOINC,3936-2,8918,0.028284443
measurement,3016502,Oxygen saturation in Arterial blood,LOINC,2708-6,8862,0.028106833
observation,4314870,Place of occurrence of accident or poisoning,SNOMED,216312009,8820,0.027973625
measurement,3000144,Amphetamine [Presence] in Urine by Screen method,LOINC,19343-3,8807,0.027932394
measurement,3016407,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,LOINC,3255-7,8730,0.02768818
observation,4179963,Family history of breast cancer,SNOMED,429740004,8727,0.027678665
measurement,3014749,Leukocytes [#/volume] in Urine by Test strip,LOINC,20408-1,8710,0.027624747
observation,4256640,Body mass index 40+ - severely obese,SNOMED,408512008,8670,0.027497883
observation,4005823,Tobacco user,SNOMED,110483000,8649,0.027431279
measurement,3018229,Myelocytes/100 leukocytes in Blood by Manual count,LOINC,749-2,8631,0.02737419
measurement,3012095,Magnesium [Moles/volume] in Serum or Plasma,LOINC,2601-3,8568,0.027174378
observation,43528834,Infectious Diseases: Rx Meds for Urinary Tract,PPI,InfectiousDiseases_RxMedsforUrinaryTract,8568,0.027174378
observation,43530349,Infectious Diseases: Urinary Tract Currently,PPI,InfectiousDiseases_UrinaryTractCurrently,8568,0.027174378
observation,43530507,Infectious Diseases: How Old Were You Urinary Tract,PPI,InfectiousDiseases_HowOldWereYouUrinaryTract,8568,0.027174378
measurement,3006698,P wave axis,LOINC,8626-4,8533,0.027063372
measurement,3000787,Salicylates [Mass/volume] in Serum or Plasma,LOINC,4024-6,8510,0.026990425
measurement,3031586,Platelets [#/volume] in Blood by Estimate,LOINC,49497-1,8476,0.02688259
measurement,3004722,Prolactin [Mass/volume] in Serum or Plasma,LOINC,2842-3,8463,0.026841359
measurement,3023421,Hepatitis B virus surface Ab [Units/volume] in Serum,LOINC,16935-9,8449,0.026796957
measurement,3007463,Buprenorphine [Presence] in Urine,LOINC,3414-0,8424,0.026717666
measurement,3049536,25-hydroxyvitamin D2 [Mass/volume] in Serum or Plasma,LOINC,49054-0,8387,0.026600317
measurement,40758903,Hemoglobin [Mass/volume] in Blood by Oximetry,LOINC,55782-7,8336,0.026438564
measurement,3001376,Heart rate by Pulse oximetry,LOINC,8889-8,8328,0.026413191
measurement,3028286,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,2862-1,8315,0.02637196
observation,45772705,Denies alcohol use,SNOMED,704198001,8303,0.026333901
observation,903062,Attempt Quit Smoking: Completely Quit Age Prefer Not To Answer,PPI,AttemptQuitSmoking_CompletelyQuitAgePreferNo,8298,0.026318043
measurement,3035941,MCH [Entitic mass],LOINC,28539-5,8286,0.026279984
measurement,3012501,Base excess in Blood by calculation,LOINC,11555-0,8237,0.026124575
observation,43528808,Digestive: Rx Meds for Hernia,PPI,Digestive_RxMedsforHernia,8217,0.026061142
observation,43530323,Digestive: Hernia Currently,PPI,Digestive_HerniaCurrently,8217,0.026061142
observation,43530480,Digestive: How Old Were You Hernia,PPI,Digestive_HowOldWereYouHernia,8217,0.026061142
observation,1384532,Endocrine: Prediabetes Currently,PPI,Endocrine_PrediabetesCurrently,8216,0.026057971
observation,1384543,Endocrine: How Old Were You Prediabetes,PPI,Endocrine_HowOldWereYouPrediabetes,8216,0.026057971
observation,1384566,Endocrine: Rx Meds for Prediabetes,PPI,Endocrine_RxMedsforPrediabetes,8216,0.026057971
observation,4188893,History of,SNOMED,392521001,8214,0.026051628
observation,4148407,FH: Cardiovascular disease,SNOMED,266894000,8170,0.025912077
measurement,3037234,Variant lymphocytes/100 leukocytes in Blood by Manual count,LOINC,735-1,8169,0.025908905
measurement,3015110,Color of Stone,LOINC,9796-4,8168,0.025905733
measurement,3021502,Macrocytes [Presence] in Blood by Light microscopy,LOINC,738-5,8117,0.025743981
measurement,3027598,Mean blood pressure,LOINC,8478-0,8105,0.025705922
observation,435928,Abnormal weight loss,SNOMED,267024001,8091,0.025661519
measurement,3052261,Cholesterol in VLDL 3 [Mass/volume] in Serum or Plasma,LOINC,46986-6,8089,0.025655176
measurement,3047107,Calcium [Mass/volume] corrected for albumin in Serum or Plasma,LOINC,46099-8,8038,0.025493424
observation,43528805,Digestive: Rx Meds for Diverticulosis,PPI,Digestive_RxMedsforDiverticulosis,8018,0.025429991
observation,43530320,Digestive: Diverticulosis Currently,PPI,Digestive_DiverticulosisCurrently,8018,0.025429991
observation,43530477,Digestive: How Old Were You Diverticulosis,PPI,Digestive_HowOldWereYouDiverticulosis,8018,0.025429991
observation,43528820,Endocrine: Rx Meds for Type 2 Diabetes,PPI,Endocrine_RxMedsforType2Diabetes,7993,0.025350701
observation,43530335,Endocrine: Type 2 Diabetes Currently,PPI,Endocrine_Type2DiabetesCurrently,7993,0.025350701
observation,43530492,Endocrine: How Old Were You Type 2 Diabetes,PPI,Endocrine_HowOldWereYouType2Diabetes,7993,0.025350701
measurement,3022250,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,LOINC,14804-9,7945,0.025198464
observation,4047564,Routine antenatal care,SNOMED,134435003,7923,0.025128688
observation,4144271,Tobacco smoking consumption,SNOMED,266918002,7920,0.025119173
observation,43528879,Skeletal Muscular: Rx Meds for Fractured Broken Bone,PPI,SkeletalMuscular_RxMedsforFracturedBrokenBone,7890,0.025024025
observation,43530394,Skeletal Muscular: Fractured Broken Bone Currently,PPI,SkeletalMuscular_FracturedBrokenBoneCurrently,7890,0.025024025
observation,43530552,Skeletal Muscular: How Old Were You Fractured Broken Bone,PPI,SkeletalMuscular_HowOldWereYouFracturedBrokenBone,7890,0.025024025
measurement,3017797,Hepatitis B virus surface Ab [Presence] in Serum,LOINC,22322-2,7880,0.024992309
measurement,3022022,QRS duration,LOINC,8633-0,7818,0.024795669
observation,440927,High risk drug monitoring status,SNOMED,243872007,7817,0.024792497
observation,4177213,History of polyp of colon,SNOMED,428283002,7789,0.024703692
measurement,3012493,Arterial pulse quality by palpation,LOINC,8866-6,7749,0.024576828
observation,4305831,Exposure to potentially harmful entity,SNOMED,418715001,7723,0.024494366
measurement,3037167,Microscopic observation [Identifier] in Unspecified specimen by Gram stain,LOINC,664-3,7709,0.024449963
observation,43528854,Nervous System: Rx Meds for Insomnia,PPI,NervousSystem_RxMedsforInsomnia,7702,0.024427762
observation,43530369,Nervous System: Insomnia Currently,PPI,NervousSystem_InsomniaCurrently,7702,0.024427762
observation,43530527,Nervous System: How Old Were You Insomnia,PPI,NervousSystem_HowOldWereYouInsomnia,7702,0.024427762
observation,437643,Abnormal gait,SNOMED,22325002,7695,0.02440556
observation,43528836,Kidney: Rx Meds for Kidney Stones,PPI,Kidney_RxMedsforKidneyStones,7688,0.024383359
observation,43530351,Kidney: Kidney Stones Currently,PPI,Kidney_KidneyStonesCurrently,7688,0.024383359
observation,43530509,Kidney: How Old Were You Kidney Stones,PPI,Kidney_HowOldWereYouKidneyStones,7688,0.024383359
measurement,3046425,Mycobacterium tuberculosis tuberculin stimulated gamma interferon [Presence] in Blood,LOINC,45323-3,7675,0.024342128
observation,4093836,Glasgow coma score,SNOMED,248241002,7656,0.024281868
observation,1384556,Hearing Vision: Other Hearing Eye Condition Currently,PPI,HearingVision_OtherHearingEyeConditionCurrently,7614,0.02414866
observation,1384663,Hearing Vision: Rx Meds for Other Hearing Eye Condition,PPI,HearingVision_RxMedsforOtherHearingEyeCondition,7614,0.02414866
observation,1384667,Hearing Vision: How Old Were You Other Hearing Eye Condition,PPI,HearingVision_HowOldOtherCondition,7614,0.02414866
measurement,3005168,Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma,LOINC,2501-5,7610,0.024135973
observation,440279,Accident,SNOMED,55566008,7593,0.024082056
measurement,2212093,"Comprehensive metabolic panel This panel must include the following: Albumin (82040) Bilirubin, total (82247) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphatase, alkaline (84075) Pot",CPT4,80053,7555,0.023961535
observation,439141,Abnormal weight gain,SNOMED,161833006,7462,0.023666575
measurement,3034485,Albumin/Creatinine [Mass Ratio] in Urine,LOINC,9318-7,7459,0.02365706
measurement,2212648,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count",CPT4,85025,7444,0.023609486
observation,903530,Decide Receive Results: Increased,PPI,DecideReceiveResults_Increased,7434,0.02357777
observation,903533,Decide Receive Results: Better Care Of Me,PPI,DecideReceiveResults_BetterCareOfMe,7434,0.02357777
observation,903536,Decide Receive Results: Help Providers,PPI,DecideReceiveResults_HelpProviders,7434,0.02357777
observation,903538,Decide Receive Results: More Expensive Healthcare,PPI,DecideReceiveResults_MoreExpensiveHealthcare,7434,0.02357777
observation,903541,Decide Receive Results: Hard To Get Insurance,PPI,DecideReceiveResults_HardToGetInsurance,7434,0.02357777
observation,903544,Decide Receive Results: Confused Worried,PPI,DecideReceiveResults_ConfusedWorried,7434,0.02357777
observation,903547,Decide Receive Results: Relatives Health,PPI,DecideReceiveResults_RelativesHealth,7434,0.02357777
observation,903550,Decide Receive Results: Time Off Work,PPI,DecideReceiveResults_TimeOffWork,7434,0.02357777
observation,903553,Decide Receive Results: Not Useful,PPI,DecideReceiveResults_NotUseful,7434,0.02357777
observation,903556,Decide Receive Results: Not Related,PPI,DecideReceiveResults_NotRelated,7434,0.02357777
observation,4187742,Substance observable,SNOMED,373063009,7402,0.023476278
measurement,3038288,Influenza virus B RNA [Presence] in Unspecified specimen by NAA with probe detection,LOINC,40982-1,7385,0.023422361
measurement,3003338,MCHC [Mass/volume],LOINC,28540-3,7347,0.023301839
measurement,3011483,Granular casts [#/area] in Urine sediment by Microscopy low power field,LOINC,5793-5,7347,0.023301839
measurement,3003181,Sodium [Moles/volume] in Urine,LOINC,2955-3,7336,0.023266951
measurement,3037244,Yeast [#/area] in Urine sediment by Microscopy high power field,LOINC,5822-2,7331,0.023251093
measurement,3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,LOINC,3053-6,7327,0.023238407
observation,43528806,Digestive: Rx Meds for Gall Stones,PPI,Digestive_RxMedsforGallStones,7300,0.023152773
observation,43530321,Digestive: Gall Stones Currently,PPI,Digestive_GallStonesCurrently,7300,0.023152773
observation,43530478,Digestive: How Old Were You Gall Stones,PPI,Digestive_HowOldWereYouGallStones,7300,0.023152773
measurement,3027651,Basophils [#/volume] in Blood by Manual count,LOINC,705-4,7274,0.023070311
observation,46273937,Long-term current use of anticoagulant,SNOMED,711150003,7258,0.023019566
measurement,3014798,Benzoylecgonine [Presence] in Urine by Screen method,LOINC,14314-9,7210,0.022867328
measurement,3034452,Benzoylecgonine [Presence] in Urine,LOINC,3393-6,7163,0.022718262
measurement,3017766,Complement C4 [Mass/volume] in Serum or Plasma,LOINC,4498-2,7148,0.022670688
observation,1332800,Did your use include smoking cannabis?,PPI,tsu_ds5_13_xx20,7142,0.022651659
observation,1332801,Do you think you have used more or less cannabis in the past month than you used to?,PPI,tsu_ds5_13_xx21,7142,0.022651659
observation,1333013,How often did you use cannabis?,PPI,tsu_ds5_13_xx3,7142,0.022651659
observation,4310250,Ex-smoker,SNOMED,8517006,7081,0.02245819
measurement,3044938,Influenza virus A RNA [Presence] in Unspecified specimen by NAA with probe detection,LOINC,34487-9,7078,0.022448675
measurement,3013290,Carbon dioxide [Partial pressure] in Blood,LOINC,11557-6,7048,0.022353527
observation,4222303,Non-smoker,SNOMED,8392000,7042,0.022334497
measurement,40766800,Mycobacterium tuberculosis stimulated gamma interferon release by CD4+ T-cells [Units/volume] corrected for background in Blood,LOINC,64084-7,7039,0.022324982
measurement,3004616,Nuclear Ab [Presence] in Serum,LOINC,8061-4,7024,0.022277408
measurement,3004295,Urea nitrogen [Mass/volume] in Blood,LOINC,6299-2,7018,0.022258379
measurement,4301868,Pulse rate,SNOMED,78564009,7006,0.022220319
measurement,3026225,Cocaine [Presence] in Serum or Plasma by Screen method,LOINC,8191-9,6988,0.02216323
measurement,3006490,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,LOINC,5774-5,6983,0.022147372
measurement,3016879,Cocaine [Presence] in Urine,LOINC,3397-7,6969,0.02210297
measurement,3008424,Barbiturates [Presence] in Serum or Plasma by Screen method,LOINC,20421-4,6937,0.022001478
observation,4058858,H/O: tissue/organ recipient,SNOMED,161663000,6934,0.021991963
measurement,3027920,Ovalocytes [Presence] in Blood by Light microscopy,LOINC,774-0,6929,0.021976105
measurement,2212090,"Basic metabolic panel (Calcium, total) This panel must include the following: Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520)",CPT4,80048,6924,0.021960247
observation,1384420,Circulatory: Rx Meds for Other Heart Blood,PPI,Circulatory_RxMedsforOtherHeartBlood,6922,0.021953904
observation,1384423,Circulatory: Other Heart Blood Currently,PPI,Circulatory_OtherHeartBloodCurrently,6922,0.021953904
observation,1384462,Circulatory: How Old Were You Other Heart Blood,PPI,Circulatory_HowOldWereYouOtherHeartBlood,6922,0.021953904
measurement,3051596,Benzodiazepines [Presence] in Serum or Plasma by Screen method,LOINC,46976-7,6918,0.021941217
measurement,3016961,Cannabinoids [Presence] in Serum or Plasma by Screen method,LOINC,8172-9,6910,0.021915844
observation,43528882,Skeletal Muscular: Rx Meds for Osteoporosis,PPI,SkeletalMuscular_RxMedsforOsteoporosis,6910,0.021915844
observation,43530397,Skeletal Muscular: Osteoporosis Currently,PPI,SkeletalMuscular_OsteoporosisCurrently,6910,0.021915844
observation,43530555,Skeletal Muscular: How Old Were You Osteoporosis,PPI,SkeletalMuscular_HowOldWereYouOsteoporosis,6910,0.021915844
measurement,3002317,Cells Counted Total [#] in Blood,LOINC,11282-1,6895,0.02186827
observation,3001034,Specimen site Narrative,LOINC,19803-6,6894,0.021865099
measurement,3040311,Epithelial cells.non-squamous [Presence] in Urine sediment by Light microscopy,LOINC,53978-3,6885,0.021836554
observation,4060705,Body mass index 25-29 - overweight,SNOMED,162863004,6869,0.021785808
measurement,3020316,Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay,LOINC,13950-1,6855,0.021741406
measurement,3012565,Volume of 24 hour Urine,LOINC,3167-4,6845,0.02170969
measurement,3038136,Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma,LOINC,21198-7,6805,0.021582825
measurement,3009214,Lutropin [Units/volume] in Serum or Plasma,LOINC,10501-5,6801,0.021570139
observation,46272451,Long-term current use of insulin,SNOMED,710815001,6787,0.021525736
observation,43528851,Nervous System: Rx Meds for Concussion,PPI,NervousSystem_RxMedsforConcussion,6776,0.021490848
observation,43530366,Nervous System: Concussion Currently,PPI,NervousSystem_ConcussionCurrently,6776,0.021490848
observation,43530524,Nervous System: How Old Were You Concussion,PPI,NervousSystem_HowOldWereYouConcussion,6776,0.021490848
measurement,3003159,Erythrocytes [#/volume] in Body fluid by Automated count,LOINC,23860-0,6771,0.02147499
measurement,3025987,Albumin [Presence] in Urine,LOINC,1753-3,6753,0.021417901
measurement,4141684,Delivered oxygen flow rate,SNOMED,427081008,6720,0.021313238
measurement,3011368,Poikilocytosis [Presence] in Blood by Light microscopy,LOINC,779-9,6695,0.021233948
measurement,40763913,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,LOINC,61152-5,6681,0.021189545
measurement,3022738,Opiates [Presence] in Serum or Plasma by Screen method,LOINC,8219-8,6680,0.021186373
observation,4247398,Health status,SNOMED,406221003,6661,0.021126113
observation,4235714,Detail of abuse,SNOMED,406190002,6656,0.021110255
measurement,3029870,Urobilinogen [Mass/volume] in Urine by Automated test strip,LOINC,50563-6,6649,0.021088053
measurement,3009682,Cortisol [Mass/volume] in Serum or Plasma,LOINC,2143-6,6627,0.021018278
measurement,3000620,Complement C3 [Mass/volume] in Serum or Plasma,LOINC,4485-9,6614,0.020977047
measurement,3035456,Hepatitis A virus Ab [Presence] in Serum by Immunoassay,LOINC,13951-9,6550,0.020774064
measurement,3019150,Specific gravity of Urine by Refractometry,LOINC,5810-7,6542,0.020748691
measurement,4149519,Glucose measurement,SNOMED,36048009,6517,0.020669401
observation,45766228,Requires tetanus and diphtheria vaccination,SNOMED,703345002,6460,0.020488619
measurement,3006322,Oral temperature,LOINC,8331-1,6459,0.020485447
measurement,3008295,Osmolality of Serum or Plasma,LOINC,2692-2,6447,0.020447388
measurement,3006615,Calciferol (Vit D2) [Mass/volume] in Serum or Plasma,LOINC,2236-8,6441,0.020428358
measurement,3002185,P wave Atrium by EKG,LOINC,8894-8,6418,0.020355411
measurement,3008939,Band form neutrophils [#/volume] in Blood by Manual count,LOINC,763-3,6404,0.020311008
measurement,3029162,Epithelial cells.squamous [#/area] in Urine sediment by Automated count,LOINC,33219-7,6393,0.020276121
measurement,4108289,Non-invasive mean arterial pressure,SNOMED,251074006,6389,0.020263434
observation,40661253,Prescription(s) generated and transmitted via a qualified erx system,HCPCS,G8553,6379,0.020231718
observation,1384470,Skeletal Muscular: How Old Were You Other Arthritis,PPI,SkeletalMuscular_HowOldWereYouOtherArthritis,6360,0.020171457
observation,1384478,Skeletal Muscular: Rx Meds for Other Arthritis,PPI,SkeletalMuscular_RxMedsforOtherArthritis,6360,0.020171457
observation,1384576,Skeletal Muscular: Other Arthritis Currently,PPI,SkeletalMuscular_OtherArthritisCurrently,6360,0.020171457
measurement,3012471,Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay,LOINC,29771-3,6350,0.020139741
measurement,3005755,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,LOINC,1743-4,6344,0.020120712
measurement,3016049,Testosterone Free [Mass/volume] in Serum or Plasma,LOINC,2991-8,6341,0.020111197
observation,437175,"Fall on same level from slipping, tripping or stumbling",SNOMED,217154006,6329,0.020073137
observation,43528826,Hearing Vision: Rx Meds for Hearing Loss,PPI,HearingVision_RxMedsforHearingLoss,6326,0.020063623
observation,43530341,Hearing Vision: Hearing Loss Currently,PPI,HearingVision_HearingLossCurrently,6326,0.020063623
observation,43530498,Hearing Vision: How Old Were You Hearing Loss,PPI,HearingVision_HowOldWereYouHearingLoss,6326,0.020063623
measurement,3022560,Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay,LOINC,24113-3,6324,0.020057279
measurement,3027238,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,LOINC,8099-4,6293,0.019958959
measurement,3023520,Reticulocytes [#/volume] in Blood,LOINC,14196-0,6289,0.019946273
measurement,2212095,"Lipid panel This panel must include the following: Cholesterol, serum, total (82465) Lipoprotein, direct measurement, high density cholesterol (HDL cholesterol) (83718) Triglycerides (84478)",CPT4,80061,6276,0.019905042
measurement,3002582,Erythrocytes [#/volume] in Urine,LOINC,30391-7,6275,0.01990187
measurement,3015023,Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field,LOINC,26052-1,6249,0.019819408
measurement,3002971,Nuclear Ab [Titer] in Serum by Immunofluorescence,LOINC,5048-4,6233,0.019768663
measurement,3046731,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy low power field,LOINC,45390-2,6226,0.019746461
measurement,3026925,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,LOINC,3051-0,6204,0.019676686
measurement,3035851,Transitional cells [#/area] in Urine sediment by Microscopy high power field,LOINC,30089-7,6165,0.019552993
measurement,3003540,Lymphocytes/100 leukocytes in Body fluid by Manual count,LOINC,13941-0,6155,0.019521277
measurement,3030367,Cyclic citrullinated peptide IgG Ab [Units/volume] in Serum or Plasma,LOINC,33935-8,6136,0.019461016
observation,43528846,Mental Health: Rx Meds for PTSD,PPI,MentalHealth_RxMedsforPTSD,6133,0.019451501
observation,43530361,Mental Health: PTSD Currently,PPI,MentalHealth_PTSDCurrently,6133,0.019451501
observation,43530519,Mental Health: How Old Were You PTSD,PPI,MentalHealth_HowOldWereYouPTSD,6131,0.019445158
measurement,3012516,Albumin [Mass/volume] in Urine,LOINC,1754-1,6128,0.019435643
observation,4058852,H/O: risk factor,SNOMED,161632004,6127,0.019432472
measurement,3034739,Osmolality of Serum or Plasma by calculation,LOINC,18182-6,6114,0.019391241
measurement,3032238,Epithelial cells.non-squamous [Presence] in Urine by Automated,LOINC,50225-2,6106,0.019365868
measurement,3013498,Variant lymphocytes/100 leukocytes in Blood,LOINC,13046-8,6065,0.019235832
measurement,3034915,Calcium [Mass/volume] in Unspecified specimen,LOINC,38250-7,6060,0.019219974
measurement,3032971,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL,LOINC,49563-0,6054,0.019200944
measurement,40762766,Methadone [Presence] in Serum or Plasma by Screen method,LOINC,59705-4,6036,0.019143855
observation,45771331,Temperature,SNOMED,703421000,6020,0.019093109
observation,4233025,Environment observable,SNOMED,438950009,6019,0.019089937
observation,43528860,Nervous System: Rx Meds for Neuropathy,PPI,NervousSystem_RxMedsforNeuropathy,6006,0.019048706
observation,43530375,Nervous System: Neuropathy Currently,PPI,NervousSystem_NeuropathyCurrently,6006,0.019048706
observation,43530533,Nervous System: How Old Were You Neuropathy,PPI,NervousSystem_HowOldWereYouNeuropathy,6006,0.019048706
observation,443364,Patient encounter status,SNOMED,305058001,5995,0.019013819
observation,43528868,Other: Rx Meds for Enlarged Prostate,PPI,Other_RxMedsforEnlargedProstate,5986,0.018985274
observation,43530383,Other: Enlarged Prostate Currently,PPI,Other_EnlargedProstateCurrently,5986,0.018985274
observation,43530541,Other: How Old Were You Enlarged Prostate,PPI,Other_HowOldWereYouEnlargedProstate,5986,0.018985274
measurement,3041354,Potassium [Moles/volume] in Venous blood,LOINC,39789-3,5937,0.018829865
measurement,3024449,HIV 2 Ab [Presence] in Serum or Plasma by Immunoassay,LOINC,30361-0,5932,0.018814007
measurement,3031569,Natriuretic peptide B [Mass/volume] in Blood,LOINC,42637-9,5922,0.018782291
observation,45773001,Pulse oximetry,SNOMED,708065004,5909,0.01874106
